name,id,tags
Monk,1695,Comedy Crime Drama Mystery  Adrian Monk rising star San Francisco Police Department legendary unconventional means solve department baffling cases tragic unsolved murder wife Trudy developed extreme case obsessive compulsive disorder working private consultant Monk continues investigate cases unconventional ways 7.9  Andy Breckman  
Law & Order: Criminal Intent,4601,Drama  installment Law Order franchise takes viewers deep minds criminals following intense psychological approaches Major Case Squad uses solve crimes 7.582  Dick Wolf  
Scott Pilgrim Takes Off,155292,Animation Action & Adventure Comedy Sci-Fi & Fantasy  Scott Pilgrim meets girl dreams Ramona Flowers find seven evil exes stand way love 8.55  Bryan Lee O'Malley BenDavid Grabinski  
Chicago Fire,44006,Drama  edge seat view lives everyday heroes committed America noblest professions firefighters rescue squad paramedics Chicago Firehouse occupation stressful dangerous rewarding exhilarating courageous men women elite forge headfirst danger running way actions difference life death 8.419  Michael Brandt Derek Haas  
PAW Patrol,57532,Animation Kids  PAW Patrol CG action adventure old children preschool series starring pack heroic puppies led tech savvy year old boy named Ryder 7.0  Keith Chapman  
The Walking Dead: Daryl Dixon,211684,Sci-Fi & Fantasy Action & Adventure  Daryl washes ashore France struggles piece got series tracks journey broken resilient France hopes find way home makes journey connections forms way complicate ultimate plan 8.461  David Zabel  
9-1-1,75219,Drama Crime Action & Adventure  Explore high pressure experiences police officers paramedics firefighters thrust frightening shocking heart stopping situations emergency responders try balance saving vulnerable solving problems lives 8.222  Ryan Murphy Brad Falchuk  
PBS NewsHour,1655,News  America longest running hour long nightly news broadcast known depth coverage issues current events 5.279  Jim Lehrer Robert MacNeil  
Desperate Housewives,693,Mystery Drama Comedy  Looking friends family way life Mary Alice Young way death day perfect house loveliest suburbs Mary Alice ended taking lives family friends neighbors commenting elevated 7.929  Marc Cherry  
Dexter,1405,Crime Drama Mystery  Dexter Morgan blood spatter pattern analyst Miami Metro Police leads secret life serial killer hunting criminals slipped cracks justice 8.191  James Manos Jr.  
